dateTime,059793,F2470,L2471,L2472,L2478,level,F2470_0.5h,F2470_1.0h,F2470_2.0h,F2470_4.0h,F2470_8.0h,F2470_12.0h,F2470_24.0h,F2470_48.0h,season
2023-10-19 00:00:00+00:00,0.0,0.814,7.558,5.306,0.469,normal,0.814,0.817,0.834,0.881,0.869,0.86,0.955,1.364,3
2023-10-19 00:15:00+00:00,0.2,0.814,7.557,5.307,0.47,normal,0.816,0.823,0.841,0.88,0.868,0.86,0.959,1.387,3
2023-10-19 00:30:00+00:00,0.0,0.814,7.56,5.309,0.47,normal,0.817,0.829,0.855,0.878,0.866,0.858,0.962,1.411,3
2023-10-19 00:45:00+00:00,0.4,0.816,7.552,5.31,0.471,normal,0.823,0.831,0.866,0.876,0.865,0.858,0.966,1.435,3
2023-10-19 01:00:00+00:00,0.8,0.817,7.559,5.309,0.473,normal,0.829,0.834,0.873,0.875,0.863,0.857,0.97,1.459,3
2023-10-19 01:15:00+00:00,0.2,0.823,7.558,5.306,0.472,normal,0.831,0.841,0.879,0.873,0.862,0.856,0.973,1.482,3
2023-10-19 01:30:00+00:00,0.6,0.829,7.558,5.308,0.474,normal,0.834,0.855,0.882,0.873,0.864,0.855,0.976,1.503,3
2023-10-19 01:45:00+00:00,0.8,0.831,7.561,5.312,0.475,normal,0.841,0.866,0.883,0.873,0.868,0.856,0.98,1.507,3
2023-10-19 02:00:00+00:00,0.6,0.834,7.559,5.316,0.476,normal,0.855,0.873,0.881,0.873,0.87,0.856,0.982,1.513,3
2023-10-19 02:15:00+00:00,0.8,0.841,7.558,5.322,0.476,normal,0.866,0.879,0.88,0.874,0.869,0.856,0.984,1.527,3
2023-10-19 02:30:00+00:00,0.2,0.855,7.56,5.319,0.479,normal,0.873,0.882,0.878,0.874,0.868,0.856,0.987,1.539,3
2023-10-19 02:45:00+00:00,0.8,0.866,7.556,5.318,0.481,normal,0.879,0.883,0.876,0.874,0.866,0.857,0.99,1.551,3
2023-10-19 03:00:00+00:00,0.6,0.873,7.56,5.323,0.483,normal,0.882,0.881,0.875,0.874,0.866,0.857,0.992,1.562,3
2023-10-19 03:15:00+00:00,0.2,0.879,7.556,5.329,0.487,normal,0.883,0.88,0.873,0.873,0.864,0.858,0.994,1.571,3
2023-10-19 03:30:00+00:00,0.2,0.882,7.561,5.327,0.491,normal,0.881,0.878,0.873,0.872,0.863,0.859,0.997,1.582,3
2023-10-19 03:45:00+00:00,0.2,0.883,7.558,5.33,0.497,normal,0.88,0.876,0.873,0.871,0.862,0.859,0.999,1.593,3
2023-10-19 04:00:00+00:00,0.0,0.881,7.559,5.333,0.503,normal,0.878,0.875,0.873,0.869,0.86,0.86,1.0,1.604,3
2023-10-19 04:15:00+00:00,0.0,0.88,7.56,5.334,0.508,normal,0.876,0.873,0.874,0.868,0.86,0.86,1.001,1.613,3
2023-10-19 04:30:00+00:00,0.0,0.878,7.556,5.335,0.515,normal,0.875,0.873,0.874,0.866,0.858,0.861,1.004,1.622,3
2023-10-19 04:45:00+00:00,0.0,0.876,7.558,5.333,0.521,normal,0.873,0.873,0.874,0.865,0.858,0.861,1.006,1.63,3
2023-10-19 05:00:00+00:00,0.0,0.875,7.561,5.335,0.526,normal,0.873,0.873,0.874,0.863,0.857,0.862,1.006,1.639,3
2023-10-19 05:15:00+00:00,0.0,0.873,7.56,5.339,0.53,normal,0.873,0.874,0.873,0.862,0.856,0.863,1.008,1.65,3
2023-10-19 05:30:00+00:00,0.0,0.873,7.561,5.335,0.533,normal,0.873,0.874,0.872,0.864,0.855,0.863,1.011,1.659,3
2023-10-19 05:45:00+00:00,0.0,0.873,7.56,5.336,0.537,normal,0.874,0.874,0.871,0.868,0.856,0.864,1.01,1.669,3
2023-10-19 06:00:00+00:00,0.0,0.873,7.561,5.336,0.539,normal,0.874,0.874,0.869,0.87,0.856,0.865,1.013,1.677,3
2023-10-19 06:15:00+00:00,0.0,0.874,7.56,5.337,0.543,normal,0.874,0.873,0.868,0.869,0.856,0.867,1.013,1.684,3
2023-10-19 06:30:00+00:00,0.0,0.874,7.557,5.34,0.545,normal,0.874,0.872,0.866,0.868,0.856,0.869,1.013,1.691,3
2023-10-19 06:45:00+00:00,0.0,0.874,7.56,5.341,0.547,normal,0.873,0.871,0.865,0.866,0.857,0.871,1.015,1.696,3
2023-10-19 07:00:00+00:00,0.0,0.874,7.561,5.337,0.549,normal,0.872,0.869,0.863,0.866,0.857,0.872,1.016,1.702,3
2023-10-19 07:15:00+00:00,0.0,0.873,7.56,5.339,0.552,normal,0.871,0.868,0.862,0.864,0.858,0.875,1.016,1.705,3
2023-10-19 07:30:00+00:00,0.0,0.872,7.558,5.342,0.556,normal,0.869,0.866,0.864,0.863,0.859,0.877,1.018,1.71,3
2023-10-19 07:45:00+00:00,0.0,0.871,7.561,5.343,0.559,normal,0.868,0.865,0.868,0.862,0.859,0.879,1.02,1.714,3
2023-10-19 08:00:00+00:00,0.0,0.869,7.56,5.338,0.563,normal,0.866,0.863,0.87,0.86,0.86,0.882,1.021,1.72,3
2023-10-19 08:15:00+00:00,0.0,0.868,7.56,5.34,0.568,normal,0.865,0.862,0.869,0.86,0.86,0.886,1.02,1.724,3
2023-10-19 08:30:00+00:00,0.0,0.866,7.558,5.343,0.574,normal,0.863,0.864,0.868,0.858,0.861,0.89,1.02,1.726,3
2023-10-19 08:45:00+00:00,0.0,0.865,7.561,5.341,0.582,normal,0.862,0.868,0.866,0.858,0.861,0.894,1.021,1.727,3
2023-10-19 09:00:00+00:00,0.6,0.863,7.56,5.343,0.59,normal,0.864,0.87,0.866,0.857,0.862,0.898,1.02,1.726,3
2023-10-19 09:15:00+00:00,0.2,0.862,7.56,5.345,0.599,normal,0.868,0.869,0.864,0.856,0.863,0.903,1.02,1.726,3
2023-10-19 09:30:00+00:00,0.4,0.864,7.559,5.345,0.609,normal,0.87,0.868,0.863,0.855,0.863,0.907,1.02,1.725,3
2023-10-19 09:45:00+00:00,0.0,0.868,7.561,5.347,0.621,normal,0.869,0.866,0.862,0.856,0.864,0.912,1.017,1.724,3
2023-10-19 10:00:00+00:00,0.2,0.87,7.559,5.35,0.634,normal,0.868,0.866,0.86,0.856,0.865,0.917,1.019,1.723,3
2023-10-19 10:15:00+00:00,0.0,0.869,7.561,5.354,0.649,normal,0.866,0.864,0.86,0.856,0.867,0.922,1.02,1.722,3
2023-10-19 10:30:00+00:00,0.0,0.868,7.559,5.359,0.668,normal,0.866,0.863,0.858,0.856,0.869,0.927,1.019,1.72,3
2023-10-19 10:45:00+00:00,0.0,0.866,7.56,5.358,0.69,normal,0.864,0.862,0.858,0.857,0.871,0.932,1.022,1.718,3
2023-10-19 11:00:00+00:00,0.0,0.866,7.56,5.364,0.714,normal,0.863,0.86,0.857,0.857,0.872,0.936,1.021,1.715,3
2023-10-19 11:15:00+00:00,0.0,0.864,7.556,5.362,0.74,normal,0.862,0.86,0.856,0.858,0.875,0.941,1.02,1.714,3
2023-10-19 11:30:00+00:00,0.0,0.863,7.56,5.363,0.765,normal,0.86,0.858,0.855,0.859,0.877,0.946,1.02,1.711,3
2023-10-19 11:45:00+00:00,0.0,0.862,7.563,5.366,0.791,normal,0.86,0.858,0.856,0.859,0.879,0.95,1.019,1.708,3
2023-10-19 12:00:00+00:00,0.0,0.86,7.56,5.368,0.814,normal,0.858,0.857,0.856,0.86,0.882,0.955,1.019,1.705,3
2023-10-19 12:15:00+00:00,0.0,0.86,7.56,5.371,0.835,normal,0.858,0.856,0.856,0.86,0.886,0.959,1.019,1.701,3
2023-10-19 12:30:00+00:00,0.0,0.858,7.56,5.376,0.853,normal,0.857,0.855,0.856,0.861,0.89,0.962,1.018,1.699,3
2023-10-19 12:45:00+00:00,0.0,0.858,7.56,5.383,0.868,normal,0.856,0.856,0.857,0.861,0.894,0.966,1.018,1.694,3
2023-10-19 13:00:00+00:00,0.0,0.857,7.558,5.383,0.882,normal,0.855,0.856,0.857,0.862,0.898,0.97,1.017,1.69,3
2023-10-19 13:15:00+00:00,0.0,0.856,7.561,5.389,0.893,normal,0.856,0.856,0.858,0.863,0.903,0.973,1.019,1.685,3
2023-10-19 13:30:00+00:00,0.0,0.855,7.562,5.389,0.901,normal,0.856,0.856,0.859,0.863,0.907,0.976,1.021,1.681,3
2023-10-19 13:45:00+00:00,0.0,0.856,7.564,5.393,0.908,normal,0.856,0.857,0.859,0.864,0.912,0.98,1.025,1.678,3
2023-10-19 14:00:00+00:00,0.0,0.856,7.563,5.394,0.912,normal,0.856,0.857,0.86,0.865,0.917,0.982,1.028,1.673,3
2023-10-19 14:15:00+00:00,0.0,0.856,7.562,5.402,0.916,normal,0.857,0.858,0.86,0.867,0.922,0.984,1.031,1.669,3
2023-10-19 14:30:00+00:00,0.0,0.856,7.562,5.406,0.918,normal,0.857,0.859,0.861,0.869,0.927,0.987,1.036,1.665,3
2023-10-19 14:45:00+00:00,0.0,0.857,7.564,5.413,0.919,normal,0.858,0.859,0.861,0.871,0.932,0.99,1.039,1.661,3
2023-10-19 15:00:00+00:00,0.0,0.857,7.561,5.417,0.919,normal,0.859,0.86,0.862,0.872,0.936,0.992,1.044,1.658,3
2023-10-19 15:15:00+00:00,0.0,0.858,7.565,5.423,0.919,normal,0.859,0.86,0.863,0.875,0.941,0.994,1.047,1.654,3
2023-10-19 15:30:00+00:00,0.0,0.859,7.561,5.43,0.919,normal,0.86,0.861,0.863,0.877,0.946,0.997,1.048,1.651,3
2023-10-19 15:45:00+00:00,0.0,0.859,7.563,5.434,0.919,normal,0.86,0.861,0.864,0.879,0.95,0.999,1.051,1.647,3
2023-10-19 16:00:00+00:00,0.0,0.86,7.561,5.442,0.919,normal,0.861,0.862,0.865,0.882,0.955,1.0,1.053,1.645,3
2023-10-19 16:15:00+00:00,0.0,0.86,7.561,5.447,0.917,normal,0.861,0.863,0.867,0.886,0.959,1.001,1.056,1.641,3
2023-10-19 16:30:00+00:00,0.0,0.861,7.563,5.455,0.917,normal,0.862,0.863,0.869,0.89,0.962,1.004,1.059,1.638,3
2023-10-19 16:45:00+00:00,0.0,0.861,7.565,5.461,0.916,normal,0.863,0.864,0.871,0.894,0.966,1.006,1.062,1.635,3
2023-10-19 17:00:00+00:00,0.0,0.862,7.564,5.465,0.914,normal,0.863,0.865,0.872,0.898,0.97,1.006,1.063,1.632,3
2023-10-19 17:15:00+00:00,0.0,0.863,7.562,5.476,0.914,normal,0.864,0.867,0.875,0.903,0.973,1.008,1.064,1.63,3
2023-10-19 17:30:00+00:00,0.0,0.863,7.563,5.48,0.913,normal,0.865,0.869,0.877,0.907,0.976,1.011,1.066,1.628,3
2023-10-19 17:45:00+00:00,0.0,0.864,7.561,5.493,0.913,normal,0.867,0.871,0.879,0.912,0.98,1.01,1.068,1.626,3
2023-10-19 18:00:00+00:00,0.0,0.865,7.563,5.501,0.913,normal,0.869,0.872,0.882,0.917,0.982,1.013,1.069,1.624,3
2023-10-19 18:15:00+00:00,0.0,0.867,7.564,5.505,0.913,normal,0.871,0.875,0.886,0.922,0.984,1.013,1.074,1.623,3
2023-10-19 18:30:00+00:00,0.0,0.869,7.56,5.517,0.914,normal,0.872,0.877,0.89,0.927,0.987,1.013,1.077,1.621,3
2023-10-19 18:45:00+00:00,0.0,0.871,7.563,5.522,0.915,normal,0.875,0.879,0.894,0.932,0.99,1.015,1.081,1.618,3
2023-10-19 19:00:00+00:00,0.0,0.872,7.563,5.531,0.915,normal,0.877,0.882,0.898,0.936,0.992,1.016,1.084,1.618,3
2023-10-19 19:15:00+00:00,0.0,0.875,7.563,5.538,0.916,normal,0.879,0.886,0.903,0.941,0.994,1.016,1.088,1.615,3
2023-10-19 19:30:00+00:00,0.0,0.877,7.56,5.551,0.917,normal,0.882,0.89,0.907,0.946,0.997,1.018,1.091,1.614,3
2023-10-19 19:45:00+00:00,0.0,0.879,7.563,5.56,0.918,normal,0.886,0.894,0.912,0.95,0.999,1.02,1.097,1.612,3
2023-10-19 20:00:00+00:00,0.0,0.882,7.563,5.574,0.92,normal,0.89,0.898,0.917,0.955,1.0,1.021,1.101,1.611,3
2023-10-19 20:15:00+00:00,0.0,0.886,7.56,5.58,0.92,normal,0.894,0.903,0.922,0.959,1.001,1.02,1.108,1.611,3
2023-10-19 20:30:00+00:00,0.0,0.89,7.562,5.587,0.921,normal,0.898,0.907,0.927,0.962,1.004,1.02,1.116,1.608,3
2023-10-19 20:45:00+00:00,0.0,0.894,7.564,5.595,0.921,normal,0.903,0.912,0.932,0.966,1.006,1.021,1.124,1.606,3
2023-10-19 21:00:00+00:00,0.0,0.898,7.564,5.606,0.921,normal,0.907,0.917,0.936,0.97,1.006,1.02,1.134,1.604,3
2023-10-19 21:15:00+00:00,0.0,0.903,7.562,5.619,0.921,normal,0.912,0.922,0.941,0.973,1.008,1.02,1.145,1.602,3
2023-10-19 21:30:00+00:00,0.0,0.907,7.561,5.626,0.919,normal,0.917,0.927,0.946,0.976,1.011,1.02,1.157,1.6,3
2023-10-19 21:45:00+00:00,0.0,0.912,7.564,5.639,0.917,normal,0.922,0.932,0.95,0.98,1.01,1.017,1.171,1.599,3
2023-10-19 22:00:00+00:00,0.0,0.917,7.561,5.648,0.915,normal,0.927,0.936,0.955,0.982,1.013,1.019,1.186,1.595,3
2023-10-19 22:15:00+00:00,0.0,0.922,7.566,5.658,0.913,normal,0.932,0.941,0.959,0.984,1.013,1.02,1.204,1.591,3
2023-10-19 22:30:00+00:00,0.0,0.927,7.563,5.669,0.91,normal,0.936,0.946,0.962,0.987,1.013,1.019,1.223,1.59,3
2023-10-19 22:45:00+00:00,0.0,0.932,7.564,5.675,0.908,normal,0.941,0.95,0.966,0.99,1.015,1.022,1.246,1.586,3
2023-10-19 23:00:00+00:00,0.0,0.936,7.562,5.69,0.904,normal,0.946,0.955,0.97,0.992,1.016,1.021,1.268,1.584,3
2023-10-19 23:15:00+00:00,0.0,0.941,7.563,5.697,0.901,normal,0.95,0.959,0.973,0.994,1.016,1.02,1.291,1.58,3
2023-10-19 23:30:00+00:00,0.0,0.946,7.566,5.709,0.897,normal,0.955,0.962,0.976,0.997,1.018,1.02,1.312,1.576,3
